id_ocorrencia;classificacao;cidade;uf;pais;data;num_recomendacoes
41991;INCIDENTE;GUARULHOS;SP;BRASIL;2010-07-02T13:30:00Z;0
41994;INCIDENTE;RONDONOPOLIS;MT;BRASIL;2010-07-14T21:35:00Z;0
41998;INCIDENTE;CONFINS;MG;BRASIL;2010-03-18T13:37:00Z;0
41999;INCIDENTE;GUARULHOS;SP;BRASIL;2010-03-18T03:00:00Z;0
42001;ACIDENTE;BOITUVA;SP;BRASIL;2010-07-24T18:00:00Z;1
42009;INCIDENTE;CARAUARI;AM;BRASIL;2010-06-27T17:45:00Z;0
42010;INCIDENTE;MACAE;RJ;BRASIL;2010-06-10T11:52:00Z;0
42011;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;2010-06-19T13:16:00Z;0
42012;INCIDENTE;CAMPINAS;SP;BRASIL;2010-06-30T19:37:00Z;0
42013;INCIDENTE;MACAE;RJ;BRASIL;2010-06-16T13:45:00Z;0
42038;INCIDENTE;CARUARU;PE;BRASIL;2010-07-26T22:30:00Z;0
42039;INCIDENTE;LINHARES;ES;BRASIL;2010-07-10T11:20:00Z;0
42067;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;2010-07-20T12:41:00Z;0
42068;INCIDENTE;SALVADOR;BA;BRASIL;2010-07-21T13:25:00Z;0
42071;ACIDENTE;AFUA;PA;BRASIL;2010-07-24T10:15:00Z;6
42073;INCIDENTE;SALVADOR;BA;BRASIL;2010-07-21T19:16:00Z;0
42232;INCIDENTE;BRASILIA;DF;BRASIL;2010-07-05T03:00:00Z;0
42249;INCIDENTE;BRASILIA;DF;BRASIL;2010-08-06T23:55:00Z;0
42250;ACIDENTE;RIO DE JANEIRO;RJ;BRASIL;2010-08-12T12:26:00Z;19
42251;INCIDENTE GRAVE;PIRANHAS;GO;BRASIL;2010-08-05T17:00:00Z;0
42263;INCIDENTE;SALVADOR;BA;BRASIL;2010-08-11T12:52:00Z;0
42284;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;2010-08-10T12:30:00Z;0
